name,title,authors,institutions,abstract
Cris Kocian,Experimental Constraints on the Origin of ^{13}C-Depleted Martian Sediments in Gale Crater,"Cris Kocian^{1}, Christopher House^{1}, Jennifer Stern^{2}, Steven M. Bates^{2}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2}NASA Goddard Space Flight Center, Greenbelt, MD, USA","In Gale Crater, the Curiosity rover found organic molecules with a wide range of carbon isotopic compositions. Methane (CH_{4}) released during pyrolysis by the Sample Analysis at Mars (SAM) instrument exhibits δ^{13}C values in the range of –137 ± 8‰ to +22 ±10‰. Ten of the twenty-four samples in this dataset are strongly depleted in ^{13}C (δ^{13}C < –70‰). Two hypotheses to explain this ^{13}C depletion with abiotic processes are 1) contamination of the derivatizing agent N-tert-butyldimethylsilyl-N-methyltrifluoroacetamide (MTBSTFA) and 2) photochemical deposition of formaldehyde (HCHO). MTBSTFA, which is present in the background of the SAM instrument, has a δ^{13}C value of about –35‰ and would produce CH_{4} if pyrolyzed. Alternatively, ultraviolet radiation in the Martian atmosphere photolyzes carbon dioxide (CO_{2}) into carbon monoxide (CO) depleted in ^{13}C with a δ^{13}C of approximately –150‰. If this ^{13}C-depleted CO is further photochemically reduced to HCHO it could deposit onto the surface and be detected by Curiosity.\nTo test these hypotheses, we simulated SAM pyrolysis conditions in the laboratory and measured CH_{4} production and carbon isotope fractionation from candidate compounds. Tetrakis (trimethylsilyl) silane (TKS) was used as an analog for MTBSTFA. Pyrolysis of TKS at low (75℃) and high (455℃) temperature cuts produced CH_{4} with δ^{13}C values from –49‰ to –43‰, which are not depleted enough to account for lower SAM measurements. In contrast, pyrolysis of HCHO at the same temperature cuts produced primarily CO and minimal CH_{4}. Despite lower CH_{4} yields, HCHO derived from ^{13}C-depleted atmospheric CO could reproduce the SAM δ^{13}C values if the isotopic composition of photolyzed CO is retained. These results support photochemically produced HCHO as a more likely abiotic source of the ^{13}C-depleted CH_{4}detected by Curiosity than MTBSTFA contamination."
Liz Tofte,Quantifying Seasonal Sea Ice Melt and Sediment Plume Development at Arctic River Mouths,"Liz Tofte^{1}, Anastasia Piliouras^{1}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA","The Arctic is warming at more than four times the global average. This warming has led to significant changes in Arctic river hydrology, including increased discharge, greater sediment supply, and earlier spring freshet onset. These upstream changes affect the coastal zone – dynamic land–ocean interfaces where seasonal riverine and oceanic processes regulate primary productivity – making them particularly vulnerable to climate change. Coastal sea ice melt and sediment plume development are two seasonal processes that directly respond to freshwater, heat, and sediment export from rivers, yet they remain under-observed. Quantifying how these processes behave and change over time can provide insight into how the coastal zone is responding to changing hydrology.\nThis study investigates six major Arctic river mouths: the Yukon, Colville, and Mackenzie in North America, and the Ob-Yenisei, Kolyma, and Lena in Eurasia. The objectives are to (1) characterize typical seasonal patterns of coastal sea ice melt and sediment plume development, (2) assess changes over two decades, and (3) compare variability between systems. Sea ice and plume behaviors were analyzed using MODIS-derived sea ice products and MODIS imagery, respectively.\nResults show that river mouths follow two primary ice melt regimes: initiating directly at the shoreline *{or} at offshore flaw leads, suggesting differences in dominant processes driving coastal ice melt initiation. As temperatures continue to increase into the summer, sediment plumes develop, with turbidity peaking in early summer following snowmelt and occasionally in late summer due to storm-driven resuspension. Eurasian rivers show significant trends in sea ice behavior, including a shortening melt season at the Lena and Ob–Yenisei and earlier landfast melt at the Kolyma. Across all systems, sediment delivery to the coast is occurring earlier, with significantly earlier plume onset at the Lena, Kolyma, and Mackenzie. Overall, Arctic coastal processes are shifting in response to rapid warming, though the magnitude and timing of change vary among river systems, reflecting strong local controls."
Renan Beckman,"Exploring zircon dark zones through cathodoluminescence and trace elements: New insights from the Ruby Star Granodiorite, Arizona","Renan Beckman^{1}, Herve Rezeau^{2}, Erik Schoonover^{1}, Maureen Feineman^{1}, Jesse Reimink^{1}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2}Earth Resources Laboratory, Department of Earth, Atmospheric and Planetary Sciences, Massachusetts Institute of Technology, Cambridge, MA, USA","Copper is critical to the global energy transition, and demand is rising rapidly. The main global copper sources are Porphyry Copper Deposits (PCDs). New PCDs are becoming more challenging to find, and major discoveries from the past decade are being found deeper in the subsurface. To improve exploration strategies, a holistic understanding of the processes that drive PCD emplacement is required.\nRecent work has focused on accessory igneous minerals (e. g. zircon, apatite) within intrusions associated with PCDs as recorders of magmatic and hydrothermal evolution. Zircon textural features revealed by Cathodoluminescence (CL) record variations in the chemical evolution through its characteristic oscillatory growth zoning. This study specifically focuses on zircon “dark” growth zones that are commonly observed in porphyry intrusions, yet poorly studied (e. g., Bajo de la All umbrera; Buretet al., 2016). In Bajo de la Alumbrera, zircon dark zones display anomalously high concentrations of uraniumand rare earth elements (REE), and are interpreted as relics of a mafic recharge event (Bur et et al., 2016).\nTo test petrogenetic models for zircon dark zone growth, and their possible usefulness as a geochemical vector for PCDs, zircon grains from the Ruby Star Granodiorite associated with world-class sierrita PCD were depth profiled via Laser Ablation Split Stream Inductively Coupled Mass Spectrometer (LASS-ICP-MS). Zircons from the Ruby Star Granodiorite commonly exhibit dark growth zones characterized by enriched U, Th, and REEs. After rotating these grains 90º and polishing to expose the depth profile, we use SEM imaging and electron microprobe analyses to evaluate the morphology and chemistry of zircon grains. Here we present these findings and discuss their implications for the petrogenetic mechanisms that form zircon dark zones in intrusions associated with PCDs, and evaluate their potential to better understand emplacement and as a geochemical indicator to identify “fertile” intrusions."
Lillian Miller,"Using InSAR, SAR Offset Tracking, and GNSS to Investigate the August 28, 2020 Bedrock Landslide Within the Irazú-Turrialba Volcanic Complex, Costa Rica","Lillian Miller^{1}, Dr. Christelle Wauthier^{1}, Young Cheol Kim^{1}, Cyril Muller^{2}, Esteban Chaves^{2}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2}Observatorio Vulcanológico y Sismológico de Costa Rica (OVSICORI-UNA), Universidad Nacional, Costa Rica","The presence of landslides in volcanic settings is a significant threat, as large landslides on volcanic edifices can lead to cascading hazards, including smaller landslides, debris avalanches, or magma chamber depressurization. On August 28, 2020, the Volcanological and Seismological Observatory of Costa Rica (OVSICORI) observed a landslide in a valley adjacent to Irazú Volcano. The landslide occurred within the Irazú-Turrialba Volcanic Complex outside of San José, Costa Rica. Turrialba, the second volcano within the complex and just 10 km from Irazú, saw renewed activity beginning in 2010 and continuing through 2022 and has sparked concern of potential reactivation of Irazú and associated hazards. The cause of this landslide is currently unknown, but the renewed activity at Turrialba hints that the landslide may have been driven by underground magmatic activity within the volcanic complex. We propose to leverage optical and radar imagery in tandem with Global Navigation Satellite System (GNSS) positional data to answer: (1) was the August 28, 2020 landslide initiated by renewed magmatic movement below the Irazú-Turrialba Volcanic Complex? And (2) was subsidence a precursor to the landslide? We hypothesize that the landslide was not caused by renewed magmatic movement and that subsidence was a precursor to the landslide. GNSS results show the landmass experienced 3.5m of accelerating subsidence over three years leading up to the landslide, with4 m of subsidence occurring during the landslide. However, Interferometric Synthetic Aperture Radar (InSAR) analysis of Sentinel-1 C-band SAR data reveals> 1 m of subsidence across the same period, likely due to high rates of deformation, fast temporal decorrelation, and vegetation within the volcanic complex. Continued work is being done to leverage offset tracking with Planet optical data and high-resolution COSMO-Sky Med X-band SAR data to capture the displacement and more accurately match the GNSS displacement of the landmass."
Ethan Heidtman,Modeling and mitigation of riverine saltwater intrusion hazards using reservoir operations: a case study in thetidal Susquehanna River,"Ethan Heidtman^{1} and Antonia Hadjimichael^{1, 2}",^{1}Penn State University Department of Geosciences\n^{2}Penn State University Earth and Environmental Systems Institute,"Multi-purpose reservoirs are critical infrastructure for the management of water resources, and reservoir operations must often balance multiple competing water demands. Climate change is an important threat to the resiliency of water resources in these reservoirs, as it can limit the efficacy of historical operations strategies as well as water demands and availability. The Conowingo Reservoir, a large multi-purpose reservoir located in Pennsylvania and Maryland along the Susquehanna River, has been managed actively for decades, yet current operating policies fail to adequately account for internal system variability and emerging threats to regional water resource reliability. Havre de Grace, Maryland, a small community at the mouth of the Susquehanna River, sources drinking water from the river, and during periods of low riverine freshwater flow and certain weather conditions, saline waters from Chesapeake Bay can intrude upstream, degrading public water supply and corroding infrastructure.\nTo address this emerging problem, we first develop a statistical model for saltwater intrusion at the Havre de Grace drinking water intake using historical discharge, tide, and wind data from 2007– 2024. Salinity responses to wind and tidal forcing under low flow conditions are rare and nonlinear, such as in October 2016, when drinking water exceeded the EPA Secondary Standard for Total Dissolved Solids for a 2-week period. These events highlight the need for targeted reservoir releases prior to and during salinity events, and results indicate that the model can identify intrusion-prone conditions more than 10 days in advance. Future work will incorporate this forecast model into a simulation-optimization framework for the Conowingo, training adaptive, state-aware, and dynamic release policies that release water from the reservoir downstream to flush out intruding saltwater while continuing to satisfy pre-existing regional water demands."
Arthur Lo,"Analysis of Ground Deformation Preceding the December 2020 – May 2021 Summit Eruption at Kīlauea Volcano, Hawai’i","Arthur Wan Ki Lo^{1}, Christelle Wauthier^{1, 2}, Young Cheol Kim^{1}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2}Institute for Computational and Data Sciences, The Pennsylvania State University, University Park, PA, USA","The 2020 summit eruption at Kīlauea Volcano, Hawai’i marked a new phase of eruptive activity at Kīlauea’s summit following the end of the 2018 Lower East Rift Zone eruption. Seismicity and ground deformation had been reported prior to the eruption, including an intrusion beneath the summit caldera on 2 December 2020. To investigate the geometry and volume of the 2 December intrusion, we processed interferograms using ascending and descending orbit Sentinel-1 SAR data with acquisition dates spanning 2 December2020. To investigate long-term summit deformation prior to the eruption, we also processed Interferometric Synthetic Aperture Radar (InSAR) time-series ofKīlauea using data from Sentinel-1 satellites (January to mid-December 2020).\nFor the interferograms, we measured line-of-sight (LOS) displacements ranging from about 14 to -2.8 cm and 7 to-4.2 cm respectively for the ascending and descending orbit interferogram. We inverted the LOS displacements and modelled the intrusion using analyticsolutions for point source, rectangular dislocation, penny-shaped crack andspheroid models in an elastic half space. The deformation coincides with the location of a linear feature within the summit caldera, which suggests that deformation observed in early December 2020 could be associated with movement along a caldera fault.\nUsing the time-series, we found a steady increase in LOS displacement within the caldera. We separated the time-series into 3 periods: P1 (January – early November), P2 (early November – early December), and P3 (early December – mid-December). We observed distinct deformation patterns, including localized deformation within Halema’uma’u Crater during P1, a marked increase in displacement rates within the caldera for P2 and deformation likely associated with the intrusion in P3. The pattern of the localized deformation during P1 coincides with the location of the eruptive vents which formed during the December 2020 eruption. This may represent a pathway along which magma was transported for the eruption."
Dan Cove,Laboratory methods to constrain the habitability of extreme environments,"Daniel Cove^{1}, Chris House^{1}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA","Habitability, an environment’s ability to support life on some scale, is a concept that is pervasive in our discussions of planets in outer space. Whether the focus is on distant exoplanets, neighboring worlds in our solar system, or the planet Earth itself at various points in the past, physicochemical conditions which constitute habitability are constantly redefined and speculated upon. One characteristic shared by each of these example locations is that they are not readily accessible *{in situ}, whether due to a spatial or temporal barrier. For observed or theorized environments in such places, the development of laboratory simulations is necessary.\nThis study develops a series of laboratory assays that can be subjected to simulations of exotic environments to constrain habitability along a continuum from a single aqueous biological reaction to complete cell division. The assay representing the low end of the habitability spectrum is activity of the bio essential enzyme phosphatase, which cleaves phosphate ions from larger substrates to eventually create ATP for cellular energy storage. Such enzyme activity can be observed and quantified in lab experiments using ^{31}P NMR spectroscopy and represents the minimum biological reaction for the host environment to be considered habitable. The higher end of the habitability spectrum is represented by the replication of a (likely extremophilic) bacterial cell. The survival and replication of a bacterial culture subject to simulated conditions can be monitored using both fluorescent dye staining techniques coupled with microscopy and labelled isotope incorporation coupled with Raman spectroscopy. Creating a reasonable lab simulation of exotic planetary conditions and using these habitability proxies to work from one end of the continuum to the other will allow for better understanding of habitability as we know it and help to clarify key astrobiological target locations across the solar system and beyond for future space missions."
Mingxi Hu,The Paradox of Cyclonic Storms in a Cold Pennsylvanian Equatorial Region,"Mingxi Hu^{1}, Paul M. Myrow^{2}, and Michael P. Lamb^{3}","^{1}Department of Geosciences, The Pennsylvania State University\n^{2}Department of Geology, Colorado College\n^{3}Divisionof Geological and Planetary Sciences, California Institute of Technology","Earth has experienced extreme past climates, and the Pennsylvanian equatorial climate has been widely debated: while traditionally viewed as warm, recent studies controversially suggested widespread cold conditions and low-altitude glaciation. One tool that has not been widely evaluated is the state of the sea, which is powerful as the state of the sea and ocean–atmospheric linkages are highly latitude dependent.\nWe conducted a paleo hydraulic analysis on storm-generated, hummocky bedforms preserved in marine intervals of the Fountain and Minturn Formations in Pangea’s palaeoequator. Reconstructed wave periods and fetch distances indicate the presence of large gravity waves formed under gale-to-hurricane strength winds. These bedforms therefore required cyclonic storms driven by high Coriolis vorticity and high sea surface temperatures. These results are at odds with a cold equatorial hypothesis, and challenge published paleolatitude estimates (<5 degree north) for the Colorado region, suggesting that Pennsylvanian tropical conditions were fundamentally different than previously posited."
Ava Spangler,Collaborative Development of a Pluvial Flood Model and Adaptation Strategies to Advance Resilience in Baltimore,"Ava Spangler^{1, 2}, Antonia Hadjimichael^{1, 2}","^{1}Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2}Earth and Environmental Systems Institute, The Pennsylvania State University, University Park, PA, USA","Climate change is intensifying the hydrologic cycle, leading to more frequent and severe rainfall-driven (pluvial) flooding in urban areas. In the mid-Atlantic US cities, aging and under-designed stormwater infrastructure is increasingly strained by these events, resulting in recurring damage to property and disruptions to transportation networks. In this study, we combine community engagement with hydrologic modeling to develop and evaluate potential urban flood adaptation strategies. Over a three-year period, local technical experts and community representatives met regularly to discuss flooding concerns, identify priorities, and co-develop adaptation strategies. These discussions informed the development of an urban flooding model (EPA Storm Water Management Model) for the Baltimore Harbor watershed, the focus location of this study. The flooding model integrates complex surface and subsurface stormwater infrastructure data, local expert knowledge, and community insights. We simulate stakeholder-prioritized adaptations, such as green and gray infrastructure strategies. Model results demonstrate that enhanced infrastructure maintenance is the most effective adaptation for reducing flood depths, but has varied effects across the watershed, and can increase flooding in some locations. Spatially concentrated greening provides limited benefit to the watershed as a whole, but moderate benefit in community priority areas. Together, these adaptations have the potential to reduce flood depths by as much as 58% in some locations, greatly reducing property damage and mobility impacts, primary concerns of stakeholders. Future work will implement robust optimization tools to search for adaptations which meet stakeholder objectives and perform highly under varied future climate conditions. This work contributes to the expanding literature on collaborative modeling and demonstrates that community-engaged approaches can enhance model credibility and generate more actionable insights for communities seeking to strengthen climate resilience."
Bailey Hoplight,Elevated CO_{2} Effects on Water Isotope Fractionation in Trees,"Bailey Hoplight^{1}, Max Lloyd^{1}","^{1}Department of Geosciences, the Pennsylvania State University, University Park, PA, USA","Plant tissues and their oxygen isotope (δ^{18}O) compositions are considered valuable records of paleoenvironmental change, capturing shifts in key climate parameters such as temperature, water source, and water availability. Plant tissue δ^{18}O represents the combined influence of these processes on the physiochemical response of the plant, and this understanding has been leveraged to reconstruct temperature and hydroclimate conditions across the recent geologic timescale. However, it is important to understand how additional factors could confound this framework. One such factor that remains poorly constrained is the response of plant tissue δ^{18}O under varying atmospheric CO_{2} concentrations.\nThis study aims to investigate the effects of elevated CO_{2} concentrations on the δ^{18}O isotopic composition of plant materials. *{Ginkgo biloba} trees were grown in chambers for six growing seasons with CO_{2} concentrations ranging from 425 to 1000 ppm. δ^{18}O compositions were measured from both bulk wood and cellulose of latewood across multiple annual growth rings. If resulting δ^{18}O values are found to be quantitatively related to CO_{2} concentrations, then previous and future paleoclimate reconstructions based on the isotopic composition of plant tissues will require careful (re-) calibration to atmospheric CO_{2}.\nThis presentation will highlight preliminary results, emerging isotopic trends, and offer initial interpretations as to how these patterns relate to physiological responses of plants under elevated CO_{2} conditions."
