"name","title","authors","institutions","abstract"
"Cris Kocian","Experimental Constraints on the Origin of ^{13}C-Depleted Martian Sediments in Gale Crater","Cris Kocian^{1}, Christopher House^{1}, Jennifer Stern^{2}, Steven M. Bates^{2}","^{1} Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2}NASA Goddard Space Flight Center, Greenbelt, MD, USA","In Gale Crater, the Curiosity rover foundorganic molecules with a wide range of carbon isotopic compositions. Methane (CH_{4}) released during pyrolysis by the Sample Analysis at Mars (SAM) instrument exhibits δ^{13}C values in the range of –137 ± 8‰ to +22 ±10‰. Ten of the twenty-four samples in this dataset are strongly depleted in ^{13}C(δ^{13}C < –70‰). Two hypotheses to explain this ^{13} Cdepletion with abiotic processes are 1) contamination of the derivatizing agentN-tert-butyldimethylsilyl-N-methyltrifluoroacetamide (MTBSTFA) and 2) photochemical deposition of formaldehyde (HCHO). MTBSTFA, which is present inthe background of the SAM instrument, has a δ^{13}C value of about –35‰and would produce CH_{4} if pyrolyzed. Alternatively, ultravioletradiation in the Martian atmosphere photolyzes carbon dioxide (CO_{2}) into carbon monoxide (CO) depleted in ^{13}C with a δ^{13}C ofapproximately –150‰. If this ^{13}C-depleted CO is furtherphotochemically reduced to HCHO it could deposit onto the surface and bedetected by Curiosity.\nTo test these hypotheses, we simulated SAMpyrolysis conditions in the laboratory and measured CH_{4} productionand carbon isotope fractionation from candidate compounds. Tetrakis (trimethylsilyl) silane (TKS) was used as an analog for MTBSTFA. Pyrolysis of TKS at low (75℃) and high (455℃) temperature cuts produced CH_{4}with δ^{13}C values from –49‰ to –43‰, which are not depleted enough toaccount for lower SAM measurements. In contrast, pyrolysis of HCHO at the sametemperature cuts produced primarily CO and minimal CH_{4}. Despitelower CH_{4} yields, HCHO derived from ^{13}C-depletedatmospheric CO could reproduce the SAM δ^{13}C values if the isotopiccomposition of photolyzed CO is retained. These results support photochemicallyproduced HCHO as a more likely abiotic source of the ^{13}C-depleted CH_{4}detected by Curiosity than MTBSTFA contamination."
"Liz Tofte","Quantifying Seasonal Sea Ice Melt and Sediment Plume Development at Arctic River Mouths","Liz Tofte^{1}, Anastasia Piliouras^{1}","^{1} Department of Geosciences, The Pennsylvania State University, University Park, PA, USA","The Arctic is warming at more than four timesthe global average. This warming has led to significant changes in Arctic riverhydrology, including increased discharge, greater sediment supply, and earlierspring freshet onset. These upstream changes affect the coastal zone – dynamicland–ocean interfaces where seasonal riverine and oceanic processes regulateprimary productivity – making them particularly vulnerable to climate change. Coastal sea ice melt and sediment plume development are two seasonal processesthat directly respond to freshwater, heat, and sediment export from rivers, yetthey remain under-observed. Quantifyinghow these processes behave and change over time can provide insight into howthe coastal zone is responding to changing hydrology.\nThis study investigates six major Arctic rivermouths: the Yukon, Colville, and Mackenzie in North America, and theOb-Yenisei, Kolyma, and Lena in Eurasia. The objectives are to (1) characterizetypical seasonal patterns of coastal sea ice melt and sediment plumedevelopment, (2) assess changes over two decades, and (3) compare variabilitybetween systems. Sea ice and plume behaviors were analyzed using MODIS-derivedsea ice products and MODIS imagery, respectively.\nResults show that river mouths follow twoprimary ice melt regimes: initiating directly at the shoreline *{or} atoffshore flaw leads, suggesting differences in dominant processes drivingcoastal ice melt initiation. As temperatures continue to increase into thesummer, sediment plumes develop, with turbidity peaking in early summerfollowing snowmelt and occasionally in late summer due to storm-drivenresuspension. Eurasian rivers show significant trends in sea ice behavior, including a shortening melt season at the Lena and Ob–Yenisei and earlierlandfast melt at the Kolyma. Across all systems, sediment delivery to the coastis occurring earlier, with significantly earlier plume onset at the Lena, Kolyma, and Mackenzie. Overall, Arctic coastal processes are shifting inresponse to rapid warming, though the magnitude and timing of change vary amongriver systems, reflecting strong local controls."
"Renan Beckman","Exploring zircon dark zones throughcathodoluminescence and trace elements: New insights from the Ruby Star Granodiorite, Arizona","Renan Beckman^{1}, Herve Rezeau^{2}, Erik Schoonover^{1}, Maureen Feineman^{1} , Jesse Reimink^{1}","^{1} Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2} Earth Resources Laboratory, Department of Earth, Atmospheric and Planetary Sciences, Massachusetts Institute of Technology, Cambridge, MA, USA","Copperis critical to the global energy transition, and demand is rising rapidly. The main global copper sources are Porphyry Copper Deposits (PCDs). New PCDs are becoming more challenging to find, and major discoveries from thepast decade are being found deeper in the subsurface. To improve explorationstrategies, a holistic understanding of the processes that drive PCDemplacement is required.\nRecent work has focused on accessory igneousminerals (e. g. zircon, apatite) within intrusions associated with PCDs asrecorders of magmatic and hydrothermal evolution. Zircon textural featuresrevealed by Cathodoluminescence (CL) record variations in the chemicalevolution through its characteristic oscillatory growth zoning. This studyspecifically focuses on zircon “dark” growth zones that are commonly observedin porphyry intrusions, yet poorly studied (e. g., Bajo de la Allumbrera; Buretet al., 2016). In Bajo de la Alumbrera, zircon dark zones display anomalously high concentrations of uraniumand rare earth elements (REE), and are interpreted as relics of a maficrecharge event (Buret et al., 2016).\nTo test petrogenetic models for zircon darkzone growth, and their possible usefulness as a geochemical vector for PCDs, zircon grains from the Ruby Star Granodiorite associated with world-classsierrita PCD were depth profiled via Laser Ablation Split Stream Inductively Coupled Mass Spectrometer (LASS-ICP-MS). Zircons from the Ruby Star Granodiorite commonly exhibit dark growth zones characterized by enriched U, Th, and REEs. After rotating these grains 90º and polishing to expose the depthprofile, we use SEM imaging and electron microprobe analyses to evaluate themorphology and chemistry of zircon grains. Here we present these findings anddiscuss their implications for the petrogenetic mechanisms that form zircondark zones in intrusions associated with PCDs, and evaluate their potential tobetter understand emplacement and as a geochemical indicator to identify“fertile” intrusions."
"Lillian Miller","Using InSAR, SAR Offset Tracking, and GNSSto Investigate the August 28, 2020 Bedrock Landslide Within the Irazú-Turrialba Volcanic Complex, Costa Rica","Lillian Miller^{1}, Dr. Christelle Wauthier^{1}, Young Cheol Kim^{1}, Cyril Muller^{2}, Esteban Chaves^{2}","^{1} Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2} Observatorio Vulcanológico y Sismológico de Costa Rica (OVSICORI-UNA), Universidad Nacional, Costa Rica","The presence of landslides in volcanicsettings is a significant threat, as large landslides on volcanic edifices canlead to cascading hazards, including smaller landslides, debris avalanches, ormagma chamber depressurization. On August 28, 2020, the Volcanological and Seismological Observatory of Costa Rica (OVSICORI) observed a landslide in avalley adjacent to Irazú Volcano. The landslide occurred within the Irazú-Turrialba Volcanic Complex outside of San José, Costa Rica. Turrialba, the second volcano within the complex and just 10 km from Irazú, saw renewedactivity beginning in 2010 and continuing through 2022 and has sparked concernof potential reactivation of Irazú and associated hazards. The cause of thislandslide is currently unknown, but the renewed activity at Turrialba hintsthat the landslide may have been driven by underground magmatic activity withinthe volcanic complex. We propose to leverage optical and radar imagery intandem with Global Navigation Satellite System (GNSS) positional data toanswer: (1) was the August 28, 2020 landslide initiated by renewedmagmatic movement below the Irazú-Turrialba Volcanic Complex? And (2) was subsidence a precursor to the landslide? We hypothesize that thelandslide was not caused by renewed magmatic movement and that subsidence was aprecursor to the landslide. GNSS results show the landmass experienced 3.5m of accelerating subsidence over three years leading up to the landslide, with4 m of subsidence occurring during the landslide. However, Interferometric Synthetic Aperture Radar (InSAR) analysis of Sentinel-1 C-band SAR data reveals> 1 m of subsidence across the same period, likely due to high rates ofdeformation, fast temporal decorrelation, and vegetation within the volcaniccomplex. Continued work is being done to leverage offset tracking with Planetoptical data and high-resolution COSMO-Sky Med X-band SAR data to capture thedisplacement and more accurately match the GNSS displacement of the landmass."
"Ethan Heidtman","Modeling and mitigation of riverinesaltwater intrusion hazards using reservoir operations: a case study in thetidal Susquehanna River","Ethan Heidtman^{1} and Antonia Hadjimichael^{1, 2}","^{1} Penn State University Department of Geosciences\n^{2} Penn State University Earth and Environmental Systems Institute","Multi-purpose reservoirs are criticalinfrastructure for the management of water resources, and reservoir operationsmust often balance multiple competing water demands. Climate change is animportant threat to the resiliency of water resources in these reservoirs, asit can limit the efficacy of historical operations strategies as well as waterdemands and availability. The Conowingo Reservoir, a large multi-purposereservoir located in Pennsylvania and Maryland along the Susquehanna River, hasbeen managed actively for decades, yet current operating policies fail toadequately account for internal system variability and emerging threats toregional water resource reliability. Havre de Grace, Maryland, a smallcommunity at the mouth of the Susquehanna River, sources drinking water fromthe river, and during periods of low riverine freshwater flow and certainweather conditions, saline waters from Chesapeake Bay can intrude upstream, degrading public water supply and corroding infrastructure.\nTo address this emerging problem, we firstdevelop a statistical model for saltwater intrusion at the Havre de Gracedrinking water intake using historical discharge, tide, and wind data from 2007– 2024. Salinity responses to wind and tidal forcing under low flow conditionsare rare and nonlinear, such as in October 2016, when drinking water exceededthe EPA Secondary Standard for Total Dissolved Solids for a 2-week period. These events highlight the need for targeted reservoir releases prior to and duringsalinity events, and results indicate that the model can identifyintrusion-prone conditions more than 10 days in advance. Future work willincorporate this forecast model into a simulation-optimization framework forthe Conowingo, training adaptive, state-aware, and dynamic release policiesthat release water from the reservoir downstream to flush out intrudingsaltwater while continuing to satisfy pre-existing regional water demands."
"Arthur Lo","Analysis of Ground Deformation Precedingthe December 2020 – May 2021 Summit Eruption at Kīlauea Volcano, Hawai’i","Arthur Wan Ki Lo^{1}, Christelle Wauthier^{1, 2}, Young Cheol Kim^{1}","^{1} Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2} Institute for Computational and Data Sciences, The Pennsylvania State University, University Park, PA, USA","The 2020 summit eruption at Kīlauea Volcano, Hawai’i marked a new phase of eruptive activity at Kīlauea’s summit followingthe end of the 2018 Lower East Rift Zone eruption. Seismicity and grounddeformation had been reported prior to the eruption, including an intrusionbeneath the summit caldera on 2 December 2020. To investigate the geometry andvolume of the 2 December intrusion, we processed interferograms using ascendingand descending orbit Sentinel-1 SAR data with acquisition dates spanning 2 December2020. To investigate long-term summit deformation prior to the eruption, wealso processed Interferometric Synthetic Aperture Radar (InSAR) time-series ofKīlauea using data from Sentinel-1 satellites (January to mid-December 2020).\nFor the interferograms, we measuredline-of-sight (LOS) displacements ranging from about 14 to -2.8 cm and 7 to-4.2 cm respectively for the ascending and descending orbit interferogram. Weinverted the LOS displacements and modelled the intrusion using analyticsolutions for point source, rectangular dislocation, penny-shaped crack andspheroid models in an elastic half space. The deformation coincides with thelocation of a linear feature within the summit caldera, which suggests thatdeformation observed in early December 2020 could be associated with movementalong a caldera fault.\nUsing the time-series, we found a steadyincrease in LOS displacement within the caldera. We separated the time-seriesinto 3 periods: P1 (January – early November), P2 (early November – early December), and P3 (early December – mid-December). We observed distinctdeformation patterns, including localized deformation within Halema’uma’uCrater during P1, a marked increase in displacement rates within the calderafor P2 and deformation likely associated with the intrusion in P3. The patternof the localized deformation during P1 coincides with the location of theeruptive vents which formed during the December 2020 eruption. This mayrepresent a pathway along which magma was transported for the eruption."
"Dan Cove","Laboratory methods to constrain thehabitability of extreme environments","Daniel Cove^{1}, Chris House^{1}","^{1} Department of Geosciences, The Pennsylvania State University, University Park, PA, USA","Habitability, an environment’s ability tosupport life on some scale, is a concept that is pervasive in our discussionsof planets in outer space. Whether the focus is on distant exoplanets, neighboring worlds in our solar system, or the planet Earth itself at variouspoints in the past, physicochemical conditions which constitute habitabilityare constantly redefined and speculated upon. One characteristic shared by eachof these example locations is that they are not readily accessible *{in situ}, whether due to a spatial or temporal barrier. For observed or theorized environments in such places, the development of laboratory simulations isnecessary.\nThis study develops a series of laboratoryassays that can be subjected to simulations of exotic environments to constrainhabitability along a continuum from a single aqueous biological reaction tocomplete cell division. The assay representing the low end of the habitabilityspectrum is activity of the bioessential enzyme phosphatase, which cleavesphosphate ions from larger substrates to eventually create ATP for cellularenergy storage. Such enzyme activity can be observed and quantified in lab experimentsusing ^{31}P NMR spectroscopy and represents the minimum biologicalreaction for the host environment to be considered habitable. The higher end ofthe habitability spectrum is represented by the replication of a (likelyextremophilic) bacterial cell. The survival and replication of a bacterialculture subject to simulated conditions can be monitored using both fluorescentdye staining techniques coupled with microscopy and labelled isotopeincorporation coupled with Raman spectroscopy. Creating a reasonable labsimulation of exotic planetary conditions and using these habitability proxiesto work from one end of the continuum to the other will allow for betterunderstanding of habitability as we know it and help to clarify keyastrobiological target locations across the solar system and beyond for futurespace missions."
"Mingxi Hu","The Paradox of Cyclonic Storms in a Cold Pennsylvanian Equatorial Region","Mingxi Hu^{1}, Paul M. Myrow^{2}, and Michael P. Lamb^{3}","^{1} Department of Geosciences, The Pennsylvania State University\n^{2} Department of Geology, Colorado College\n^{3} Divisionof Geological and Planetary Sciences, California Institute of Technology","Earth has experienced extreme past climates, and the Pennsylvanian equatorial climate has been widely debated: whiletraditionally viewed as warm, recent studies controversially suggestedwidespread cold conditions and low-altitude glaciation. One tool that has notbeen widely evaluated is the state of the sea, which is powerful as the stateof the sea and ocean–atmospheric linkages are highly latitude dependent.\nWe conducted a paleohydraulic analysis onstorm-generated, hummocky bedforms preserved in marine intervals of the Fountain and Minturn Formations in Pangea’s paleoequator. Reconstructed waveperiods and fetch distances indicate the presence of large gravity waves formedunder gale-to-hurricane strength winds. These bedforms therefore requiredcyclonic storms driven by high Coriolis vorticity and high sea surfacetemperatures. These results are at odds with a cold equatorial hypothesis, andchallenge published paleolatitude estimates (<5 degree north) for the Colorado region, suggesting that Pennsylvanian tropical conditions werefundamentally different than previously posited."
"Ava Spangler","Collaborative Development of a Pluvial Flood Model and Adaptation Strategies to Advance Resilience in Baltimore","Ava Spangler^{1, 2}, Antonia Hadjimichael^{1, 2}","^{1} Department of Geosciences, The Pennsylvania State University, University Park, PA, USA\n^{2} Earth and Environmental Systems Institute, The Pennsylvania State University, University Park, PA, USA","Climate change is intensifying the hydrologiccycle, leading to more frequent and severe rainfall-driven (pluvial) floodingin urban areas. In the mid-Atlantic US cities, aging and under-designedstormwater infrastructure is increasingly strained by these events, resultingin recurring damage to property and disruptions to transportation networks. Inthis study, we combine community engagement with hydrologic modeling to developand evaluate potential urban flood adaptation strategies. Over a three-year period, local technical experts and community representatives met regularly to discussflooding concerns, identify priorities, and co-develop adaptation strategies. These discussions informed the development of an urban flooding model (EPAStorm Water Management Model) for the Baltimore Harbor watershed, the focuslocation of this study. The flooding model integrates complex surface andsubsurface stormwater infrastructure data, local expert knowledge, andcommunity insights. We simulate stakeholder-prioritized adaptations, such asgreen and gray infrastructure strategies. Model results demonstrate thatenhanced infrastructure maintenance is the most effective adaptation forreducing flood depths, but has varied effects across the watershed, and canincrease flooding in some locations. Spatially concentrated greening provideslimited benefit to the watershed as a whole, but moderate benefit in communitypriority areas. Together, these adaptations have the potential to reduce flooddepths by as much as 58% in some locations, greatly reducing property damageand mobility impacts, primary concerns of stakeholders. Future work willimplement robust optimization tools to search for adaptations which meetstakeholder objectives and perform highly under varied future climateconditions. This work contributes to the expanding literature on collaborativemodeling and demonstrates that community-engaged approaches can enhance modelcredibility and generate more actionable insights for communities seeking tostrengthen climate resilience."
"Bailey Hoplight","Elevated CO_{2 } Effects on Water Isotope Fractionation in Trees","Bailey Hoplight^{1}, Max Lloyd^{1}","^{1} Department of Geosciences, the Pennsylvania State University, University Park, PA, USA","Plant tissues and their oxygen isotope (δ^{18}O) compositions are considered valuable records of paleoenvironmental change, capturing shifts in key climate parameters such as temperature, water source, and water availability. Plant tissue δ^{18}O represents the combinedinfluence of these processes on the physiochemical response of the plant, andthis understanding has been leveraged to reconstruct temperature andhydroclimate conditions across the recent geologic timescale. However, it isimportant to understand how additional factors could confound this framework. One such factor that remains poorly constrained is the response of plant tissueδ^{18}O under varying atmospheric CO_{2} concentrations.\nThis study aims to investigate the effects ofelevated CO_{2} concentrations on the δ^{18}O isotopiccomposition of plant materials. *{Ginkgo biloba} trees were grown inchambers for six growing seasons with CO_{2} concentrations rangingfrom 425 to 1000 ppm. δ^{18}O compositions were measured from both bulkwood and cellulose of latewood across multiple annual growth rings. Ifresulting δ^{18}O values are found to be quantitatively related to CO_{2}concentrations, then previous and future paleoclimate reconstructions based onthe isotopic composition of plant tissues will require careful (re-) calibrationto atmospheric CO_{2}.\nThis presentation will highlight preliminaryresults, emerging isotopic trends, and offer initial interpretations as to howthese patterns relate to physiological responses of plants under elevated CO_{2}conditions."
